coloured	repaired	template x5 rewritten; skipped noun POS (dated/offensive racial term)
combine	repaired	template x5 rewritten; skipped card-game, obsolete, and narrow-jargon senses
commercial	repaired	template x5 rewritten; skipped finance-jargon, obsolete, and slang senses
commit	repaired	template x5 rewritten; skipped DB/version-control jargon and obsolete senses
communication	repaired	template x5 rewritten; skipped obsolete/rhetoric/religion senses
comparison	repaired	template x5 rewritten; skipped rare/rhetoric/psychology-jargon senses
competitive	repaired	template x5 rewritten; skipped chemistry-jargon sense
competitor	repaired	template x5 rewritten; skipped obsolete sense
complaint	repaired	template x5 rewritten; skipped legal-jargon and dated medical senses
complex	repaired	template x5 rewritten; skipped math/chem/geometry/weather/biology/linguistics jargon and rare verb senses
concentrate	repaired	template x5 rewritten; skipped unnatural adj sense
conclude	repaired	template x5 rewritten; skipped obsolete and legal-jargon senses
conclusion	repaired	template x5 rewritten; skipped obsolete and legal-jargon senses
confident	repaired	template x5 rewritten; skipped obsolete/derogatory adj sense and obsolete noun sense
confirm	repaired	template x5 rewritten; skipped religious-sacrament sense and nonstandard Manglish/Singlish adverb
