effectively	repaired	5x identical "We do it effectively." template; rewritten with 2 senses and 3 target forms
effort	repaired	5x identical "The effort is important." template; rewritten covering exertion and endeavor senses
election	repaired	5x identical "The election is important." template; rewritten covering vote and choice senses
element	repaired	5x identical "The element is important." template; rewritten with 5 distinct everyday senses
embarrassed	repaired	5x identical "It is embarrassed." template; rewritten with adj and verb senses
embarrassing	repaired	5x identical "We embarrassing every day." (ungrammatical); rewritten with adj and verb-gerund senses, dropped nonstandard noun sense
emergency	repaired	5x identical "The emergency is important." template; rewritten covering main and hospital-dept senses
emotion	repaired	5x identical "The emotion is important." template; rewritten covering human and animal-reaction senses
employment	repaired	5x identical "The employment is important." template; rewritten covering 4 distinct senses
encourage	repaired	5x identical "We encourage every day." template; rewritten with 4 target forms across 3 senses
